Voltagio;Periodo.ms;Frecuenza
85.8;3.6;0.277777777777778
86;3.4;0.294117647058824
86.2;3.28;0.304878048780488
86.6;3.1;0.32258064516129
87;2.9;0.344827586206897
87.4;2.74;0.364963503649635
87.9;2.58;0.387596899224806
88.2;2.48;0.403225806451613
88.7;2.36;0.423728813559322
89.1;2.24;0.446428571428571
89.7;2.14;0.467289719626168
90.2;2.07;0.483091787439614
90.6;1.99;0.50251256281407
91.6;1.825;0.547945205479452
92.4;1.73;0.578034682080925
93;1.655;0.604229607250755
93.6;1.59;0.628930817610063
94.1;1.535;0.651465798045603
