Ragio(cm);Volt Acceleration;Volt Focalisation;Volt Riscaldamento;Ampere Bobine;mT  osservato Bx;Bz
10+-0.5;168.4;26.3;7.5;1.05;-0.84;0.04
10+-0.5;114.7;10.8;7.5;0.8;-0.65;0.04
10+-0.5;164.3;24.5;7.5;1.05;-0.84;0.04
8+-0.5;135.8;19.5;7.5;1.02;-0.83;0.04
8+-0.5;190.5;32.5;7.5;1.32;-1.05;0.05
8+-0.5;187.3;33.6;7.5;1.3;-1.05;0.05
6+-0.5;166;28.2;7.5;1.64;-1.32;0.08
6+-0.5;167.1;28;7.5;1.77;-1.42;0.08
6+-0.5;225;33.1;7.5;2.17;-1.74;0.1
4+-0.5;218.5;36.4;7.5;3.15;;
4+-0.5;129.6;19.8;7.5;2.37;-1.9;0.12
4+-0.5;106.7;14.4;7.5;2.05;-1.65;0.1
2+-0.5;67.1;5.1;7.5;3.25;;
2+-0.5;68.9;6.7;7.5;3.23;;
2+-0.5;65.9;0.8;7.5;3.12;-2.5;0.16
